corporate_name_s1,address,activity_places,top_suppliers
"Acme Corporation","123 Main Street, New York, NY 10001","New York;Los Angeles;Chicago","SupplierA;SupplierB;SupplierC"
"ACME Corp","123 Main St, New York, NY 10001","New York;Los Angeles","SupplierA;SupplierD"
"TechGlobal Inc","456 Innovation Drive, San Francisco, CA 94105","San Francisco;Austin;Seattle","TechSupply;InnovateParts;GlobalComponents"
"Tech Global Incorporated","456 Innovation Dr, San Francisco, CA 94105","San Francisco;Austin","TechSupply;InnovateParts"
"Global Logistics Ltd","789 Warehouse Blvd, Chicago, IL 60601","Chicago;Detroit;Cleveland","LogiPartners;TransportCo;WarehouseSupplies"
"MegaRetail Solutions","321 Commerce Ave, Seattle, WA 98101","Seattle;Portland;Vancouver","RetailSupplierA;PackagingCo;DisplaySystems"
"Financial Services Group","555 Wall Street, New York, NY 10005","New York;London;Tokyo","DataProviders;SecuritySystems;ITServices"
"FinServ Group","555 Wall St, New York, NY 10005","New York;London","DataProviders;SecuritySystems"
"BioTech Innovations","888 Research Park, Boston, MA 02101","Boston;Cambridge;Princeton","LabEquipment;ChemicalSupplies;BioMaterials"
"Manufacturing Excellence Co","999 Factory Road, Detroit, MI 48201","Detroit;Chicago;Milwaukee","SteelSuppliers;MachineParts;Electronics"
"CloudTech Systems","147 Digital Way, Austin, TX 78701","Austin;Dallas;Houston","ServerProviders;NetworkEquip;CloudServices"
"Green Energy Corp","258 Sustainable Lane, Portland, OR 97201","Portland;Seattle;Denver","SolarPanels;WindTurbines;BatteryTech"
"Automotive Innovations","369 Motor Parkway, Detroit, MI 48202","Detroit;Toledo;Cleveland","AutoParts;Electronics;Batteries"
"Healthcare Plus","741 Medical Center Dr, Houston, TX 77001","Houston;Dallas;San Antonio","MedicalSupplies;Pharmaceuticals;Equipment"
"Consumer Goods Inc","852 Market Street, Los Angeles, CA 90001","Los Angeles;San Diego;Phoenix","PackagingCo;RawMaterials;Distributors"
"DataAnalytics Pro","963 Analytics Blvd, San Jose, CA 95101","San Jose;San Francisco;Palo Alto","DataStorage;Processors;NetworkGear"
"International Trade Co","159 Export Plaza, Miami, FL 33101","Miami;Atlanta;Charlotte","ShippingCo;Customs;Warehousing"
"Smart Home Technologies","357 IoT Avenue, Denver, CO 80201","Denver;Boulder;Fort Collins","Sensors;Microcontrollers;WiFiModules"
"Pharmaceutical Research Inc","486 Discovery Drive, Philadelphia, PA 19101","Philadelphia;Baltimore;Pittsburgh","ChemicalSupplies;LabGlass;Analytics"
"Media & Entertainment Group","624 Studio Way, Los Angeles, CA 90028","Los Angeles;New York;London","ProductionEquip;BroadcastTech;Storage"
