corporate_name_s2,main_customers,revenue,profit
"Acme Corp","RetailChain1;Distributor2;Wholesaler3",15500000,2500000
"TechGlobal Inc.","Enterprise1;Government2;Corporate3",45000000,8500000
"Tech Global Inc","Enterprise1;Corporate3;SmallBiz4",46200000,8800000
"Global Logistics Limited","Manufacturer1;Retailer2;EcommerceA",32000000,4200000
"MegaRetail Solutions","Consumer1;Consumer2;Consumer3",28500000,3100000
"Financial Services Group","Bank1;Investment2;Corporate3",125000000,35000000
"FSG Inc","Bank1;Investment2;Insurance4",126500000,35500000
"Biotech Innovations","Hospital1;University2;ResearchLab3",18000000,1200000
"Manufacturing Excellence","Automotive1;Electronics2;Industrial3",52000000,6800000
"CloudTech Systems","StartupA;EnterpriseB;GovernmentC",38000000,7200000
"Green Energy Corporation","Utility1;Municipality2;Commercial3",41000000,5500000
"Green Energy Corp.","Utility1;Municipality2;Residential4",40500000,5400000
"Automotive Innovations Inc","OEM1;Dealer2;Aftermarket3",67000000,9200000
"Healthcare Plus Inc","Hospital1;Clinic2;Insurance3",58000000,8900000
"Consumer Goods Incorporated","Retailer1;Wholesaler2;Online3",94000000,12500000
"DataAnalytics Pro","TechCompany1;Finance2;Healthcare3",29000000,5800000
"International Trade Company","Importer1;Exporter2;Distributor3",48000000,6100000
"Smart Home Tech","Consumer1;Retailer2;Builder3",22000000,2800000
"Pharmaceutical Research","Hospital1;Pharmacy2;Distributor3",78000000,15600000
"Media & Entertainment","Broadcaster1;Streaming2;Production3",156000000,28000000
"Digital Marketing Agency","Corporate1;Startup2;SMB3",12000000,1800000
"Logistics & Supply Chain Co","Manufacturer1;Retailer2;Ecommerce3",35000000,4500000
"Renewable Resources Ltd","Government1;Utility2;Commercial3",26000000,3400000
"AI Solutions Corp","Enterprise1;Government2;Research3",33000000,6600000
"EcoFriendly Products","Retailer1;Wholesaler2;Online3",19000000,2100000
